cve_id,description,cpe_match,accessVector,baseScore,exploitabilityScore,obtainAllPrivilege,obtainUserPrivilege,obtainOtherPrivilege,privilegesRequired
CVE-2021-21809,A command execution vulnerability exists in the default legacy spellchecker plugin in Moodle 3.10. A specially crafted series of HTTP requests can lead to command execution. An attacker must have administrator privileges to exploit this vulnerabilities.,['cpe:2.3:a:moodle:moodle:3.10.0:-:*:*:*:*:*:*'],NETWORK,9,8,FALSE,FALSE,FALSE,Administrator
CVE-2022-24734,"MyBB is a free and open source forum software. In affected versions the Admin CP's Settings management module does not validate setting types correctly on insertion and update, making it possible to add settings of supported type `php` with PHP code, executed on on _Change Settings_ pages. This results in a Remote Code Execution (RCE) vulnerability. The vulnerable module requires Admin CP access with the `Can manage settings?` permission. MyBB's Settings module, which allows administrators to add, edit, and delete non-default settings, stores setting data in an options code string ($options_code; mybb_settings.optionscode database column) that identifies the setting type and its options, separated by a new line character (\n). In MyBB 1.2.0, support for setting type php was added, for which the remaining part of the options code is PHP code executed on Change Settings pages (reserved for plugins and internal use). MyBB 1.8.30 resolves this issue. There are no known workarounds.",['cpe:2.3:a:mybb:mybb:*:*:*:*:*:*:*:*'],NETWORK,6.5,8,FALSE,FALSE,FALSE,Null
CVE-2020-7350,"Rapid7 Metasploit Framework versions before 5.0.85 suffers from an instance of CWE-78: OS Command Injection, wherein the libnotify plugin accepts untrusted user-supplied data via a remote computer's hostname or service name. An attacker can create a specially-crafted hostname or service name to be imported by Metasploit from a variety of sources and trigger a command injection on the operator's terminal. Note, only the Metasploit Framework and products that expose the plugin system is susceptible to this issue -- notably, this does not include Rapid7 Metasploit Pro. Also note, this vulnerability cannot be triggered through a normal scan operation -- the attacker would have to supply a file that is processed with the db_import command.",['cpe:2.3:a:rapid7:metasploit:*:*:*:*:*:*:*:*'],NETWORK,6.8,8.6,False,False,False,Null
CVE-2000-0248,The web GUI for the Linux Virtual Server (LVS) software in the Red Hat Linux Piranha package has a backdoor password that allows remote attackers to execute arbitrary commands.,"['cpe:2.3:o:redhat:linux:6.2:*:alpha:*:*:*:*:*', 'cpe:2.3:o:redhat:linux:6.2:*:sparc:*:*:*:*:*', 'cpe:2.3:o:redhat:linux:6.2:*:i386:*:*:*:*:*']",NETWORK,10,10,True,False,False,Null
CVE-2020-17519,A change introduced in Apache Flink 1.11.0 (and released in 1.11.1 and 1.11.2 as well) allows attackers to read any file on the local filesystem of the JobManager through the REST interface of the JobManager process. Access is restricted to files accessible by the JobManager process. All users should upgrade to Flink 1.11.3 or 1.12.0 if their Flink instance(s) are exposed. The issue was fixed in commit b561010b0ee741543c3953306037f00d7a9f0801 from apache/flink:master.,['cpe:2.3:a:apache:flink:*:*:*:*:*:*:*:*'],NETWORK,5,10,False,False,False,Null
CVE-2013-0136,"Multiple directory traversal vulnerabilities in the EditDocument servlet in the Frontend in Mutiny before 5.0-1.11 allow remote authenticated users to upload and execute arbitrary programs, read arbitrary files, or cause a denial of service (file deletion or renaming) via (1) the uploadPath parameter in an UPLOAD operation; the paths[] parameter in a (2) DELETE, (3) CUT, or (4) COPY operation; or the newPath parameter in a (5) CUT or (6) COPY operation.","['cpe:2.3:h:mutiny:mutiny_appliance:-:*:*:*:*:*:*:*', 'cpe:2.3:a:mutiny:mutiny_virtual_appliance:-:*:*:*:*:*:*:*', 'cpe:2.3:a:mutiny:mutiny:5.0-1.00:*:*:*:*:*:*:*', 'cpe:2.3:a:mutiny:mutiny:*:*:*:*:*:*:*:*']",NETWORK,8.5,6.8,False,False,False,Null
CVE-2012-5223,"The proc_deutf function in includes/functions_vbseocp_abstract.php in vBSEO 3.5.0, 3.5.1, 3.5.2, 3.6.0, and earlier allows remote attackers to insert and execute arbitrary PHP code via ""complex curly syntax"" in the char_repl parameter, which is inserted into a regular expression that is processed by the preg_replace function with the eval switch.","['cpe:2.3:a:crawlability:vbseo:3.2.0:rc7:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.0:rc2:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.0:beta1:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:2.0.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.1:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.0:rc3:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.2:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.6.0:rc2:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.0.0:rc2:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.3.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.1.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.0.0:rc3:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.0.0:rc6:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.3.0:rc2:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:2.2.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:2.1.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.6.0:rc1:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.2.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.0.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.6.0:beta1:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:2.4.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.3.0:rc1:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.0:beta2:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.2.0:rc8:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:2.1.1:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:2.3.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:2.4.5:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.3.1:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:*:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.0:*:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.0.0:rc4:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.0.0:rc5:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.2.0:rc5:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.2.0:rc4:*:*:*:*:*:*', 'cpe:2.3:a:crawlability:vbseo:3.5.0:rc1:*:*:*:*:*:*']",NETWORK,7.5,10,False,False,False,Null
CVE-2018-10660,An issue was discovered in multiple models of Axis IP Cameras. There is Shell Command Injection.,[],NETWORK,10,10,False,False,False,Null
CVE-2020-25042,"An arbitrary file upload issue exists in Mara CMS 7.5. In order to exploit this, an attacker must have a valid authenticated (admin/manager) session and make a codebase/dir.php?type=filenew request to upload PHP code to codebase/handler.php.",['cpe:2.3:a:maracms:maracms:7.5:*:*:*:*:*:*:*'],NETWORK,6.5,8,False,False,False,Null
CVE-2013-3522,"SQL injection vulnerability in index.php/ajax/api/reputation/vote in vBulletin 5.0.0 Beta 11, 5.0.0 Beta 28, and earlier allows remote authenticated users to execute arbitrary SQL commands via the nodeid parameter.","['cpe:2.3:a:vbulletin:vbulletin:5.0.0:beta_28:*:*:*:*:*:*', 'cpe:2.3:a:vbulletin:vbulletin:5.0.0:beta_11:*:*:*:*:*:*']",NETWORK,6.5,8,False,False,False,Null
